property_url,mls,mls_id,status,style,street,unit,city,state,zip_code,beds,full_baths,half_baths,sqft,year_built,days_on_mls,list_price,list_date,sold_price,last_sold_date,lot_sqft,price_per_sqft,latitude,longitude,stories,hoa_fee,parking_garage,primary_photo,alt_photos
https://www.realtor.com/realestateandhomes-detail/2848564427,RLXB,2171026,FOR_RENT,APARTMENT,2100  California St,,Berkeley,CA,94703,,,,,1910,0,,2024-01-24,,,,,37.869508,-122.279886,,,,http://ar.rdcpix.com/822884d89d4fe4c2fc271656119adb3cc-f2737551569od-w480_h360_x2.webp?w=1080&q=75,"http://ar.rdcpix.com/822884d89d4fe4c2fc271656119adb3cc-f2737551569od-w480_h360_x2.webp?w=1080&q=75, http://ar.rdcpix.com/822884d89d4fe4c2fc271656119adb3cc-f2538583865od-w480_h360_x2.webp?w=1080&q=75, http://ar.rdcpix.com/822884d89d4fe4c2fc271656119adb3cc-f1723181971od-w480_h360_x2.webp?w=1080&q=75, http://ar.rdcpix.com/822884d89d4fe4c2fc271656119adb3cc-f653197327od-w480_h360_x2.webp?w=1080&q=75, http://ar.rdcpix.com/822884d89d4fe4c2fc271656119adb3cc-f170316475od-w480_h360_x2.webp?w=1080&q=75, http://ar.rdcpix.com/822884d89d4fe4c2fc271656119adb3cc-f534753530od-w480_h360_x2.webp?w=1080&q=75, http://ar.rdcpix.com/822884d89d4fe4c2fc271656119adb3cc-f567440626od-w480_h360_x2.webp?w=1080&q=75, http://ar.rdcpix.com/822884d89d4fe4c2fc271656119adb3cc-f3449953849od-w480_h360_x2.webp?w=1080&q=75, http://ar.rdcpix.com/822884d89d4fe4c2fc271656119adb3cc-f3685813572od-w480_h360_x2.webp?w=1080&q=75, http://ar.rdcpix.com/822884d89d4fe4c2fc271656119adb3cc-f1561056240od-w480_h360_x2.webp?w=1080&q=75, http://ar.rdcpix.com/822884d89d4fe4c2fc271656119adb3cc-f1007925340od-w480_h360_x2.webp?w=1080&q=75, http://ar.rdcpix.com/822884d89d4fe4c2fc271656119adb3cc-f2197674144od-w480_h360_x2.webp?w=1080&q=75, http://ar.rdcpix.com/822884d89d4fe4c2fc271656119adb3cc-f3102942581od-w480_h360_x2.webp?w=1080&q=75, http://ar.rdcpix.com/822884d89d4fe4c2fc271656119adb3cc-f2812259456od-w480_h360_x2.webp?w=1080&q=75, http://ar.rdcpix.com/822884d89d4fe4c2fc271656119adb3cc-f2175133576od-w480_h360_x2.webp?w=1080&q=75, http://ar.rdcpix.com/822884d89d4fe4c2fc271656119adb3cc-f491524114od-w480_h360_x2.webp?w=1080&q=75, http://ar.rdcpix.com/822884d89d4fe4c2fc271656119adb3cc-f2268598244od-w480_h360_x2.webp?w=1080&q=75, http://ar.rdcpix.com/822884d89d4fe4c2fc271656119adb3cc-f74204501od-w480_h360_x2.webp?w=1080&q=75, http://ar.rdcpix.com/822884d89d4fe4c2fc271656119adb3cc-f2864211902od-w480_h360_x2.webp?w=1080&q=75, http://ar.rdcpix.com/822884d89d4fe4c2fc271656119adb3cc-f3712819310od-w480_h360_x2.webp?w=1080&q=75, http://ar.rdcpix.com/822884d89d4fe4c2fc271656119adb3cc-f1316439335od-w480_h360_x2.webp?w=1080&q=75, http://ar.rdcpix.com/822884d89d4fe4c2fc271656119adb3cc-f2446420037od-w480_h360_x2.webp?w=1080&q=75, http://ar.rdcpix.com/822884d89d4fe4c2fc271656119adb3cc-f2154206403od-w480_h360_x2.webp?w=1080&q=75, http://ar.rdcpix.com/822884d89d4fe4c2fc271656119adb3cc-f3127551491od-w480_h360_x2.webp?w=1080&q=75, http://ar.rdcpix.com/822884d89d4fe4c2fc271656119adb3cc-f121532055od-w480_h360_x2.webp?w=1080&q=75, http://ar.rdcpix.com/822884d89d4fe4c2fc271656119adb3cc-f115373670od-w480_h360_x2.webp?w=1080&q=75, http://ar.rdcpix.com/822884d89d4fe4c2fc271656119adb3cc-f1753044928od-w480_h360_x2.webp?w=1080&q=75, http://ar.rdcpix.com/822884d89d4fe4c2fc271656119adb3cc-f3366983624od-w480_h360_x2.webp?w=1080&q=75, http://ar.rdcpix.com/822884d89d4fe4c2fc271656119adb3cc-f4114089974od-w480_h360_x2.webp?w=1080&q=75, http://ar.rdcpix.com/822884d89d4fe4c2fc271656119adb3cc-f1111133779od-w480_h360_x2.webp?w=1080&q=75"
https://www.realtor.com/realestateandhomes-detail/2261256047,RLXB,7754812,FOR_RENT,OTHER,2225  Hearst Ave,,Berkeley,CA,94709,,,,,2022,0,,2024-01-24,3300000,2022-03-18,,,37.874387,-122.265791,,,,http://ar.rdcpix.com/da09cd179da2f7136af1f2eca7a9e4ccc-f388299696od-w480_h360_x2.webp?w=1080&q=75,"http://ar.rdcpix.com/da09cd179da2f7136af1f2eca7a9e4ccc-f388299696od-w480_h360_x2.webp?w=1080&q=75, http://ar.rdcpix.com/da09cd179da2f7136af1f2eca7a9e4ccc-f578445657od-w480_h360_x2.webp?w=1080&q=75, http://ar.rdcpix.com/da09cd179da2f7136af1f2eca7a9e4ccc-f3371861476od-w480_h360_x2.webp?w=1080&q=75, http://ar.rdcpix.com/da09cd179da2f7136af1f2eca7a9e4ccc-f2212485234od-w480_h360_x2.webp?w=1080&q=75, http://ar.rdcpix.com/da09cd179da2f7136af1f2eca7a9e4ccc-f1859524272od-w480_h360_x2.webp?w=1080&q=75, http://ar.rdcpix.com/da09cd179da2f7136af1f2eca7a9e4ccc-f3941257100od-w480_h360_x2.webp?w=1080&q=75, http://ar.rdcpix.com/da09cd179da2f7136af1f2eca7a9e4ccc-f3693475689od-w480_h360_x2.webp?w=1080&q=75, http://ar.rdcpix.com/da09cd179da2f7136af1f2eca7a9e4ccc-f3009329034od-w480_h360_x2.webp?w=1080&q=75, http://ar.rdcpix.com/da09cd179da2f7136af1f2eca7a9e4ccc-f1160914368od-w480_h360_x2.webp?w=1080&q=75, http://ar.rdcpix.com/da09cd179da2f7136af1f2eca7a9e4ccc-f2483619460od-w480_h360_x2.webp?w=1080&q=75, http://ar.rdcpix.com/da09cd179da2f7136af1f2eca7a9e4ccc-f3018808049od-w480_h360_x2.webp?w=1080&q=75, http://ar.rdcpix.com/da09cd179da2f7136af1f2eca7a9e4ccc-f1934729589od-w480_h360_x2.webp?w=1080&q=75, http://ar.rdcpix.com/da09cd179da2f7136af1f2eca7a9e4ccc-f1360509580od-w480_h360_x2.webp?w=1080&q=75, http://ar.rdcpix.com/da09cd179da2f7136af1f2eca7a9e4ccc-f2711310883od-w480_h360_x2.webp?w=1080&q=75, http://ar.rdcpix.com/da09cd179da2f7136af1f2eca7a9e4ccc-f1584812650od-w480_h360_x2.webp?w=1080&q=75, http://ar.rdcpix.com/da09cd179da2f7136af1f2eca7a9e4ccc-f203758719od-w480_h360_x2.webp?w=1080&q=75, http://ar.rdcpix.com/da09cd179da2f7136af1f2eca7a9e4ccc-f2657322812od-w480_h360_x2.webp?w=1080&q=75, http://ar.rdcpix.com/da09cd179da2f7136af1f2eca7a9e4ccc-f1219279867od-w480_h360_x2.webp?w=1080&q=75, http://ar.rdcpix.com/da09cd179da2f7136af1f2eca7a9e4ccc-f3217491843od-w480_h360_x2.webp?w=1080&q=75, http://ar.rdcpix.com/da09cd179da2f7136af1f2eca7a9e4ccc-f4089913869od-w480_h360_x2.webp?w=1080&q=75, http://ar.rdcpix.com/da09cd179da2f7136af1f2eca7a9e4ccc-f798373827od-w480_h360_x2.webp?w=1080&q=75, http://ar.rdcpix.com/da09cd179da2f7136af1f2eca7a9e4ccc-f3664418261od-w480_h360_x2.webp?w=1080&q=75"
https://www.realtor.com/realestateandhomes-detail/1714905778,RLXB,4270453,FOR_RENT,APARTMENT,1917  6th St,# 01-12,Berkeley,CA,94710,,,,,1964,0,,2024-01-24,,,,,37.796411,-122.268743,,,,http://ar.rdcpix.com/2a9a079d3cc7da2e216482d06f4b43b3c-f2567852535od-w480_h360_x2.webp?w=1080&q=75,"http://ar.rdcpix.com/2a9a079d3cc7da2e216482d06f4b43b3c-f2567852535od-w480_h360_x2.webp?w=1080&q=75, http://ar.rdcpix.com/2a9a079d3cc7da2e216482d06f4b43b3c-f2530316441od-w480_h360_x2.webp?w=1080&q=75, http://ar.rdcpix.com/2a9a079d3cc7da2e216482d06f4b43b3c-f3688611898od-w480_h360_x2.webp?w=1080&q=75, http://ar.rdcpix.com/2a9a079d3cc7da2e216482d06f4b43b3c-f2569332793od-w480_h360_x2.webp?w=1080&q=75, http://ar.rdcpix.com/2a9a079d3cc7da2e216482d06f4b43b3c-f2480746432od-w480_h360_x2.webp?w=1080&q=75, http://ar.rdcpix.com/2a9a079d3cc7da2e216482d06f4b43b3c-f2329495633od-w480_h360_x2.webp?w=1080&q=75, http://ar.rdcpix.com/2a9a079d3cc7da2e216482d06f4b43b3c-f2007657605od-w480_h360_x2.webp?w=1080&q=75, http://ar.rdcpix.com/2a9a079d3cc7da2e216482d06f4b43b3c-f2468472216od-w480_h360_x2.webp?w=1080&q=75, http://ar.rdcpix.com/2a9a079d3cc7da2e216482d06f4b43b3c-f252321414od-w480_h360_x2.webp?w=1080&q=75, http://ar.rdcpix.com/2a9a079d3cc7da2e216482d06f4b43b3c-f2831334759od-w480_h360_x2.webp?w=1080&q=75, http://ar.rdcpix.com/2a9a079d3cc7da2e216482d06f4b43b3c-f548515166od-w480_h360_x2.webp?w=1080&q=75, http://ar.rdcpix.com/2a9a079d3cc7da2e216482d06f4b43b3c-f3281647656od-w480_h360_x2.webp?w=1080&q=75, http://ar.rdcpix.com/2a9a079d3cc7da2e216482d06f4b43b3c-f679226551od-w480_h360_x2.webp?w=1080&q=75, http://ar.rdcpix.com/2a9a079d3cc7da2e216482d06f4b43b3c-f2905616237od-w480_h360_x2.webp?w=1080&q=75, http://ar.rdcpix.com/2a9a079d3cc7da2e216482d06f4b43b3c-f3083046384od-w480_h360_x2.webp?w=1080&q=75, http://ar.rdcpix.com/2a9a079d3cc7da2e216482d06f4b43b3c-f106425696od-w480_h360_x2.webp?w=1080&q=75, http://ar.rdcpix.com/2a9a079d3cc7da2e216482d06f4b43b3c-f3188720386od-w480_h360_x2.webp?w=1080&q=75, http://ar.rdcpix.com/2a9a079d3cc7da2e216482d06f4b43b3c-f3718676311od-w480_h360_x2.webp?w=1080&q=75, http://ar.rdcpix.com/2a9a079d3cc7da2e216482d06f4b43b3c-f1200135627od-w480_h360_x2.webp?w=1080&q=75, http://ar.rdcpix.com/2a9a079d3cc7da2e216482d06f4b43b3c-f3747268352od-w480_h360_x2.webp?w=1080&q=75, http://ar.rdcpix.com/2a9a079d3cc7da2e216482d06f4b43b3c-f44675643od-w480_h360_x2.webp?w=1080&q=75, http://ar.rdcpix.com/2a9a079d3cc7da2e216482d06f4b43b3c-f1124594734od-w480_h360_x2.webp?w=1080&q=75, http://ar.rdcpix.com/2a9a079d3cc7da2e216482d06f4b43b3c-f3630792365od-w480_h360_x2.webp?w=1080&q=75, http://ar.rdcpix.com/2a9a079d3cc7da2e216482d06f4b43b3c-f3288378746od-w480_h360_x2.webp?w=1080&q=75, http://ar.rdcpix.com/2a9a079d3cc7da2e216482d06f4b43b3c-f3351386671od-w480_h360_x2.webp?w=1080&q=75, http://ar.rdcpix.com/2a9a079d3cc7da2e216482d06f4b43b3c-f3553835773od-w480_h360_x2.webp?w=1080&q=75"
https://www.realtor.com/realestateandhomes-detail/2232904734,RLXB,6399356,FOR_RENT,APARTMENT,2109  Cedar St,,Berkeley,CA,94709,,,,,,1,,2024-01-23,,,,,37.8787,-122.268558,,,,http://ar.rdcpix.com/4241531d15e29a89657753ad75a6c3e9c-f4175807552od-w480_h360_x2.webp?w=1080&q=75,"http://ar.rdcpix.com/4241531d15e29a89657753ad75a6c3e9c-f4175807552od-w480_h360_x2.webp?w=1080&q=75, http://ar.rdcpix.com/4241531d15e29a89657753ad75a6c3e9c-f1069017444od-w480_h360_x2.webp?w=1080&q=75, http://ar.rdcpix.com/4241531d15e29a89657753ad75a6c3e9c-f1763906351od-w480_h360_x2.webp?w=1080&q=75, http://ar.rdcpix.com/4241531d15e29a89657753ad75a6c3e9c-f1678861862od-w480_h360_x2.webp?w=1080&q=75, http://ar.rdcpix.com/4241531d15e29a89657753ad75a6c3e9c-f4042126893od-w480_h360_x2.webp?w=1080&q=75, http://ar.rdcpix.com/4241531d15e29a89657753ad75a6c3e9c-f3755425202od-w480_h360_x2.webp?w=1080&q=75, http://ar.rdcpix.com/4241531d15e29a89657753ad75a6c3e9c-f3284395805od-w480_h360_x2.webp?w=1080&q=75, http://ar.rdcpix.com/4241531d15e29a89657753ad75a6c3e9c-f2060582232od-w480_h360_x2.webp?w=1080&q=75, http://ar.rdcpix.com/4241531d15e29a89657753ad75a6c3e9c-f4216991476od-w480_h360_x2.webp?w=1080&q=75"
https://www.realtor.com/realestateandhomes-detail/2225339747,RLXB,6008627,FOR_RENT,APARTMENT,2724  Channing Way,,Berkeley,CA,94704,,,,,,5,,2024-01-19,177500,1998-12-30,,,37.867332,-122.253243,,,,http://ar.rdcpix.com/0a862ee4ce890c6257413f43f46cc9f0c-f3352474222od-w480_h360_x2.webp?w=1080&q=75,"http://ar.rdcpix.com/0a862ee4ce890c6257413f43f46cc9f0c-f3352474222od-w480_h360_x2.webp?w=1080&q=75, http://ar.rdcpix.com/0a862ee4ce890c6257413f43f46cc9f0c-f3802635155od-w480_h360_x2.webp?w=1080&q=75, http://ar.rdcpix.com/0a862ee4ce890c6257413f43f46cc9f0c-f956833755od-w480_h360_x2.webp?w=1080&q=75, http://ar.rdcpix.com/0a862ee4ce890c6257413f43f46cc9f0c-f168861947od-w480_h360_x2.webp?w=1080&q=75, http://ar.rdcpix.com/0a862ee4ce890c6257413f43f46cc9f0c-f2288300630od-w480_h360_x2.webp?w=1080&q=75, http://ar.rdcpix.com/0a862ee4ce890c6257413f43f46cc9f0c-f2414729544od-w480_h360_x2.webp?w=1080&q=75, http://ar.rdcpix.com/0a862ee4ce890c6257413f43f46cc9f0c-f1466759957od-w480_h360_x2.webp?w=1080&q=75, http://ar.rdcpix.com/0a862ee4ce890c6257413f43f46cc9f0c-f1265751537od-w480_h360_x2.webp?w=1080&q=75, http://ar.rdcpix.com/0a862ee4ce890c6257413f43f46cc9f0c-f3345353608od-w480_h360_x2.webp?w=1080&q=75, http://ar.rdcpix.com/0a862ee4ce890c6257413f43f46cc9f0c-f1127046838od-w480_h360_x2.webp?w=1080&q=75, http://ar.rdcpix.com/0a862ee4ce890c6257413f43f46cc9f0c-f380756183od-w480_h360_x2.webp?w=1080&q=75, http://ar.rdcpix.com/0a862ee4ce890c6257413f43f46cc9f0c-f4241150474od-w480_h360_x2.webp?w=1080&q=75, http://ar.rdcpix.com/0a862ee4ce890c6257413f43f46cc9f0c-f396816199od-w480_h360_x2.webp?w=1080&q=75, http://ar.rdcpix.com/0a862ee4ce890c6257413f43f46cc9f0c-f3652520452od-w480_h360_x2.webp?w=1080&q=75, http://ar.rdcpix.com/0a862ee4ce890c6257413f43f46cc9f0c-f4076648255od-w480_h360_x2.webp?w=1080&q=75, http://ar.rdcpix.com/0a862ee4ce890c6257413f43f46cc9f0c-f4231367491od-w480_h360_x2.webp?w=1080&q=75, http://ar.rdcpix.com/0a862ee4ce890c6257413f43f46cc9f0c-f3929528288od-w480_h360_x2.webp?w=1080&q=75, http://ar.rdcpix.com/0a862ee4ce890c6257413f43f46cc9f0c-f1738060867od-w480_h360_x2.webp?w=1080&q=75, http://ar.rdcpix.com/0a862ee4ce890c6257413f43f46cc9f0c-f1769939630od-w480_h360_x2.webp?w=1080&q=75, http://ar.rdcpix.com/0a862ee4ce890c6257413f43f46cc9f0c-f983671902od-w480_h360_x2.webp?w=1080&q=75, http://ar.rdcpix.com/0a862ee4ce890c6257413f43f46cc9f0c-f2369687316od-w480_h360_x2.webp?w=1080&q=75, http://ar.rdcpix.com/0a862ee4ce890c6257413f43f46cc9f0c-f4146650798od-w480_h360_x2.webp?w=1080&q=75, http://ar.rdcpix.com/0a862ee4ce890c6257413f43f46cc9f0c-f2651946083od-w480_h360_x2.webp?w=1080&q=75, http://ar.rdcpix.com/0a862ee4ce890c6257413f43f46cc9f0c-f11909957od-w480_h360_x2.webp?w=1080&q=75, http://ar.rdcpix.com/0a862ee4ce890c6257413f43f46cc9f0c-f2888816976od-w480_h360_x2.webp?w=1080&q=75"
https://www.realtor.com/realestateandhomes-detail/9572373076,RLXB,5019633,FOR_RENT,OTHER,2425  Prospect St,,Berkeley,CA,94704,,,,,,5,,2024-01-19,,,,,37.866519,-122.249295,,,,http://ar.rdcpix.com/5c2ba938e8fa0cd46c364de6fa4639dac-f1896772530od-w480_h360_x2.webp?w=1080&q=75,"http://ar.rdcpix.com/5c2ba938e8fa0cd46c364de6fa4639dac-f1896772530od-w480_h360_x2.webp?w=1080&q=75, http://ar.rdcpix.com/5c2ba938e8fa0cd46c364de6fa4639dac-f3298459529od-w480_h360_x2.webp?w=1080&q=75, http://ar.rdcpix.com/5c2ba938e8fa0cd46c364de6fa4639dac-f1591231083od-w480_h360_x2.webp?w=1080&q=75, http://ar.rdcpix.com/5c2ba938e8fa0cd46c364de6fa4639dac-f3905507387od-w480_h360_x2.webp?w=1080&q=75, http://ar.rdcpix.com/5c2ba938e8fa0cd46c364de6fa4639dac-f2847085674od-w480_h360_x2.webp?w=1080&q=75, http://ar.rdcpix.com/5c2ba938e8fa0cd46c364de6fa4639dac-f4133047896od-w480_h360_x2.webp?w=1080&q=75, http://ar.rdcpix.com/5c2ba938e8fa0cd46c364de6fa4639dac-f1781874916od-w480_h360_x2.webp?w=1080&q=75, http://ar.rdcpix.com/5c2ba938e8fa0cd46c364de6fa4639dac-f710211991od-w480_h360_x2.webp?w=1080&q=75, http://ar.rdcpix.com/5c2ba938e8fa0cd46c364de6fa4639dac-f777153794od-w480_h360_x2.webp?w=1080&q=75, http://ar.rdcpix.com/5c2ba938e8fa0cd46c364de6fa4639dac-f3328349915od-w480_h360_x2.webp?w=1080&q=75, http://ar.rdcpix.com/5c2ba938e8fa0cd46c364de6fa4639dac-f2725760474od-w480_h360_x2.webp?w=1080&q=75, http://ar.rdcpix.com/5c2ba938e8fa0cd46c364de6fa4639dac-f1128292319od-w480_h360_x2.webp?w=1080&q=75, http://ar.rdcpix.com/5c2ba938e8fa0cd46c364de6fa4639dac-f701340270od-w480_h360_x2.webp?w=1080&q=75, http://ar.rdcpix.com/5c2ba938e8fa0cd46c364de6fa4639dac-f2799062001od-w480_h360_x2.webp?w=1080&q=75, http://ar.rdcpix.com/5c2ba938e8fa0cd46c364de6fa4639dac-f2337800577od-w480_h360_x2.webp?w=1080&q=75, http://ar.rdcpix.com/5c2ba938e8fa0cd46c364de6fa4639dac-f1788342742od-w480_h360_x2.webp?w=1080&q=75"
https://www.realtor.com/realestateandhomes-detail/9833100181,RLXB,2499070,FOR_RENT,OTHER,2335  Warring St,,Berkeley,CA,94704,,,,,,5,,2024-01-19,2600000,2015-11-09,,,37.868305,-122.250185,,,,http://ar.rdcpix.com/af59b9aa52a5a67ac95314a3a87c7247c-f3320750602od-w480_h360_x2.webp?w=1080&q=75,"http://ar.rdcpix.com/af59b9aa52a5a67ac95314a3a87c7247c-f3320750602od-w480_h360_x2.webp?w=1080&q=75, http://ar.rdcpix.com/af59b9aa52a5a67ac95314a3a87c7247c-f1086770451od-w480_h360_x2.webp?w=1080&q=75, http://ar.rdcpix.com/af59b9aa52a5a67ac95314a3a87c7247c-f1230310885od-w480_h360_x2.webp?w=1080&q=75, http://ar.rdcpix.com/af59b9aa52a5a67ac95314a3a87c7247c-f1532496057od-w480_h360_x2.webp?w=1080&q=75, http://ar.rdcpix.com/af59b9aa52a5a67ac95314a3a87c7247c-f1479747731od-w480_h360_x2.webp?w=1080&q=75, http://ar.rdcpix.com/af59b9aa52a5a67ac95314a3a87c7247c-f3836727813od-w480_h360_x2.webp?w=1080&q=75, http://ar.rdcpix.com/af59b9aa52a5a67ac95314a3a87c7247c-f3253159792od-w480_h360_x2.webp?w=1080&q=75, http://ar.rdcpix.com/af59b9aa52a5a67ac95314a3a87c7247c-f1026551049od-w480_h360_x2.webp?w=1080&q=75, http://ar.rdcpix.com/af59b9aa52a5a67ac95314a3a87c7247c-f684076621od-w480_h360_x2.webp?w=1080&q=75, http://ar.rdcpix.com/af59b9aa52a5a67ac95314a3a87c7247c-f327075068od-w480_h360_x2.webp?w=1080&q=75, http://ar.rdcpix.com/af59b9aa52a5a67ac95314a3a87c7247c-f1783126504od-w480_h360_x2.webp?w=1080&q=75, http://ar.rdcpix.com/af59b9aa52a5a67ac95314a3a87c7247c-f2274084265od-w480_h360_x2.webp?w=1080&q=75, http://ar.rdcpix.com/af59b9aa52a5a67ac95314a3a87c7247c-f3828331435od-w480_h360_x2.webp?w=1080&q=75, http://ar.rdcpix.com/af59b9aa52a5a67ac95314a3a87c7247c-f3173485175od-w480_h360_x2.webp?w=1080&q=75, http://ar.rdcpix.com/af59b9aa52a5a67ac95314a3a87c7247c-f1829170984od-w480_h360_x2.webp?w=1080&q=75"
https://www.realtor.com/realestateandhomes-detail/1907749541,RLXB,4915167,FOR_RENT,APARTMENT,2327-2333  Dwight Way,,Berkeley,CA,94704,,,,,,5,,2024-01-19,,,,,37.864973,-122.26171,,,,http://ar.rdcpix.com/c99d489e826115a1c5794934eedfd1aac-f509671097od-w480_h360_x2.webp?w=1080&q=75,"http://ar.rdcpix.com/c99d489e826115a1c5794934eedfd1aac-f509671097od-w480_h360_x2.webp?w=1080&q=75, http://ar.rdcpix.com/c99d489e826115a1c5794934eedfd1aac-f1773334141od-w480_h360_x2.webp?w=1080&q=75, http://ar.rdcpix.com/c99d489e826115a1c5794934eedfd1aac-f2493478630od-w480_h360_x2.webp?w=1080&q=75, http://ar.rdcpix.com/c99d489e826115a1c5794934eedfd1aac-f3546805264od-w480_h360_x2.webp?w=1080&q=75, http://ar.rdcpix.com/c99d489e826115a1c5794934eedfd1aac-f1962841464od-w480_h360_x2.webp?w=1080&q=75, http://ar.rdcpix.com/c99d489e826115a1c5794934eedfd1aac-f3649324412od-w480_h360_x2.webp?w=1080&q=75, http://ar.rdcpix.com/c99d489e826115a1c5794934eedfd1aac-f4264267504od-w480_h360_x2.webp?w=1080&q=75, http://ar.rdcpix.com/c99d489e826115a1c5794934eedfd1aac-f1504553443od-w480_h360_x2.webp?w=1080&q=75, http://ar.rdcpix.com/c99d489e826115a1c5794934eedfd1aac-f3706283754od-w480_h360_x2.webp?w=1080&q=75, http://ar.rdcpix.com/c99d489e826115a1c5794934eedfd1aac-f1492116886od-w480_h360_x2.webp?w=1080&q=75"
https://www.realtor.com/realestateandhomes-detail/1802038199,RLXB,2976609,FOR_RENT,OTHER,1770  LA Loma Ave,,Berkeley,CA,94709,,,,,,5,,2024-01-19,1700000,2014-11-14,,,37.876703,-122.257259,,,,http://ar.rdcpix.com/81e89a95601c887d44c27e4fcc833cfbc-f1569876942od-w480_h360_x2.webp?w=1080&q=75,"http://ar.rdcpix.com/81e89a95601c887d44c27e4fcc833cfbc-f1569876942od-w480_h360_x2.webp?w=1080&q=75, http://ar.rdcpix.com/81e89a95601c887d44c27e4fcc833cfbc-f3208993169od-w480_h360_x2.webp?w=1080&q=75, http://ar.rdcpix.com/81e89a95601c887d44c27e4fcc833cfbc-f938273184od-w480_h360_x2.webp?w=1080&q=75, http://ar.rdcpix.com/81e89a95601c887d44c27e4fcc833cfbc-f1387463533od-w480_h360_x2.webp?w=1080&q=75, http://ar.rdcpix.com/81e89a95601c887d44c27e4fcc833cfbc-f321205462od-w480_h360_x2.webp?w=1080&q=75, http://ar.rdcpix.com/81e89a95601c887d44c27e4fcc833cfbc-f1452470230od-w480_h360_x2.webp?w=1080&q=75, http://ar.rdcpix.com/81e89a95601c887d44c27e4fcc833cfbc-f2786706871od-w480_h360_x2.webp?w=1080&q=75, http://ar.rdcpix.com/81e89a95601c887d44c27e4fcc833cfbc-f595396571od-w480_h360_x2.webp?w=1080&q=75, http://ar.rdcpix.com/81e89a95601c887d44c27e4fcc833cfbc-f321527687od-w480_h360_x2.webp?w=1080&q=75, http://ar.rdcpix.com/81e89a95601c887d44c27e4fcc833cfbc-f1880864867od-w480_h360_x2.webp?w=1080&q=75, http://ar.rdcpix.com/81e89a95601c887d44c27e4fcc833cfbc-f1449753299od-w480_h360_x2.webp?w=1080&q=75, http://ar.rdcpix.com/81e89a95601c887d44c27e4fcc833cfbc-f2027103916od-w480_h360_x2.webp?w=1080&q=75, http://ar.rdcpix.com/81e89a95601c887d44c27e4fcc833cfbc-f2007692253od-w480_h360_x2.webp?w=1080&q=75, http://ar.rdcpix.com/81e89a95601c887d44c27e4fcc833cfbc-f3655035202od-w480_h360_x2.webp?w=1080&q=75"
https://www.realtor.com/realestateandhomes-detail/2988355519,RLXB,3216264,FOR_RENT,OTHER,2618  College Ave,,Berkeley,CA,94704,,,,,,5,,2024-01-19,2275000,2014-06-16,,,37.86288,-122.254042,,,,http://ar.rdcpix.com/4f7733b2c2345fc28fc12b105a0504e3c-f4181543129od-w480_h360_x2.webp?w=1080&q=75,"http://ar.rdcpix.com/4f7733b2c2345fc28fc12b105a0504e3c-f4181543129od-w480_h360_x2.webp?w=1080&q=75, http://ar.rdcpix.com/4f7733b2c2345fc28fc12b105a0504e3c-f98558096od-w480_h360_x2.webp?w=1080&q=75, http://ar.rdcpix.com/4f7733b2c2345fc28fc12b105a0504e3c-f3411860031od-w480_h360_x2.webp?w=1080&q=75, http://ar.rdcpix.com/4f7733b2c2345fc28fc12b105a0504e3c-f398666405od-w480_h360_x2.webp?w=1080&q=75, http://ar.rdcpix.com/4f7733b2c2345fc28fc12b105a0504e3c-f4176917597od-w480_h360_x2.webp?w=1080&q=75, http://ar.rdcpix.com/4f7733b2c2345fc28fc12b105a0504e3c-f3475974615od-w480_h360_x2.webp?w=1080&q=75, http://ar.rdcpix.com/4f7733b2c2345fc28fc12b105a0504e3c-f339358267od-w480_h360_x2.webp?w=1080&q=75, http://ar.rdcpix.com/4f7733b2c2345fc28fc12b105a0504e3c-f1460265824od-w480_h360_x2.webp?w=1080&q=75, http://ar.rdcpix.com/4f7733b2c2345fc28fc12b105a0504e3c-f3761645268od-w480_h360_x2.webp?w=1080&q=75, http://ar.rdcpix.com/4f7733b2c2345fc28fc12b105a0504e3c-f1142420660od-w480_h360_x2.webp?w=1080&q=75, http://ar.rdcpix.com/4f7733b2c2345fc28fc12b105a0504e3c-f2742123962od-w480_h360_x2.webp?w=1080&q=75, http://ar.rdcpix.com/4f7733b2c2345fc28fc12b105a0504e3c-f368766184od-w480_h360_x2.webp?w=1080&q=75, http://ar.rdcpix.com/4f7733b2c2345fc28fc12b105a0504e3c-f835607654od-w480_h360_x2.webp?w=1080&q=75"
